epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6488.06,0.74537,0.38194,0.9255,0.9778,0.96671,0.97861,0.81446,0.69908,0.32084,0.8878,0.001189,0.001189,0.001189
91,6559.8,0.70428,0.33747,0.8952,0.97789,0.96627,0.97865,0.81489,0.69773,0.32026,0.88729,0.00109,0.00109,0.00109
92,6630.9,0.69346,0.33251,0.89202,0.97849,0.96649,0.97872,0.81519,0.69644,0.31965,0.88661,0.000991,0.000991,0.000991
93,6702.17,0.68503,0.32678,0.88894,0.97891,0.96602,0.97877,0.81593,0.69513,0.31882,0.88594,0.000892,0.000892,0.000892
94,6773.37,0.68064,0.3255,0.88841,0.98005,0.96553,0.97884,0.81669,0.69401,0.31848,0.8853,0.000793,0.000793,0.000793
95,6844.59,0.67437,0.32152,0.88569,0.9802,0.96476,0.97891,0.81716,0.69277,0.31773,0.88477,0.000694,0.000694,0.000694
96,6915.75,0.66738,0.31728,0.88347,0.98073,0.96489,0.97908,0.81803,0.69156,0.31703,0.88412,0.000595,0.000595,0.000595
97,6986.91,0.66477,0.31547,0.88078,0.98079,0.9655,0.97915,0.81838,0.69017,0.31638,0.88341,0.000496,0.000496,0.000496
98,7058.04,0.65764,0.31193,0.87936,0.98107,0.96512,0.97919,0.81875,0.68889,0.31576,0.88278,0.000397,0.000397,0.000397
99,7129.08,0.65141,0.30936,0.878,0.98096,0.9646,0.97906,0.81946,0.68749,0.31507,0.8822,0.000298,0.000298,0.000298
100,7200.1,0.64685,0.30664,0.87701,0.98152,0.96486,0.97927,0.81997,0.68632,0.31436,0.88157,0.000199,0.000199,0.000199
