epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,773.275,0.38816,0.24764,0.93082,0.99278,0.99654,0.99486,0.96839,0.30518,0.18383,0.81356,0.0004358,0.0004358,0.0004358
81,782.725,0.38085,0.24811,0.91982,0.99638,0.99654,0.995,0.96981,0.30198,0.17523,0.80867,0.000416,0.000416,0.000416
82,794.459,0.37643,0.24191,0.92534,0.99943,1,0.995,0.96915,0.30334,0.17107,0.80807,0.0003962,0.0003962,0.0003962
83,804.499,0.36567,0.23481,0.92073,0.99957,1,0.995,0.96903,0.31752,0.16659,0.8191,0.0003764,0.0003764,0.0003764
84,821.422,0.3637,0.24053,0.9264,0.99858,1,0.995,0.96908,0.30323,0.1683,0.81369,0.0003566,0.0003566,0.0003566
85,831.727,0.3713,0.23647,0.92115,0.99655,0.99944,0.995,0.96385,0.31556,0.17296,0.81703,0.0003368,0.0003368,0.0003368
86,849.936,0.37068,0.24067,0.92789,1,0.99624,0.995,0.97087,0.30479,0.16884,0.81206,0.000317,0.000317,0.000317
87,868.072,0.3606,0.23169,0.92455,0.99578,1,0.995,0.97148,0.30029,0.17123,0.81054,0.0002972,0.0002972,0.0002972
88,886.333,0.36137,0.23215,0.92441,0.99653,0.99239,0.99493,0.96899,0.30241,0.16649,0.80954,0.0002774,0.0002774,0.0002774
89,904.624,0.36137,0.23361,0.91722,0.99245,1,0.99479,0.97361,0.29396,0.16082,0.80818,0.0002576,0.0002576,0.0002576
90,923.083,0.35535,0.22848,0.91751,0.99639,1,0.995,0.97075,0.29403,0.16398,0.80758,0.0002378,0.0002378,0.0002378
91,942,0.28936,0.17508,0.85677,1,0.99962,0.995,0.96842,0.29714,0.16112,0.80846,0.000218,0.000218,0.000218
92,960.219,0.28535,0.17152,0.84607,0.99313,0.99984,0.99497,0.9688,0.28668,0.16848,0.80074,0.0001982,0.0001982,0.0001982
93,978.593,0.28017,0.16895,0.84568,0.99634,0.99654,0.995,0.97171,0.28928,0.16641,0.8054,0.0001784,0.0001784,0.0001784
94,996.26,0.27398,0.16643,0.84748,0.99684,1,0.995,0.97011,0.28769,0.16041,0.80275,0.0001586,0.0001586,0.0001586
95,1006.42,0.27209,0.16386,0.83808,0.9958,0.99654,0.99497,0.97299,0.29159,0.16459,0.80505,0.0001388,0.0001388,0.0001388
96,1015.73,0.27352,0.16486,0.84533,0.99574,0.99654,0.99497,0.97403,0.28983,0.15783,0.80255,0.000119,0.000119,0.000119
97,1025.15,0.26552,0.15815,0.83635,0.99655,0.99978,0.99497,0.97226,0.28551,0.16016,0.80006,9.92e-05,9.92e-05,9.92e-05
98,1034.52,0.26587,0.15673,0.84045,0.99285,1,0.99493,0.9759,0.28144,0.15484,0.80078,7.94e-05,7.94e-05,7.94e-05
99,1043.85,0.26383,0.15405,0.84604,0.99634,1,0.995,0.97545,0.27746,0.15333,0.79813,5.96e-05,5.96e-05,5.96e-05
100,1053.02,0.25739,0.15141,0.8428,0.9961,1,0.995,0.97683,0.27745,0.15218,0.79835,3.98e-05,3.98e-05,3.98e-05
